LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-08-02 22:35:02,1900-01-00 00:00:00,,50:F1:4A:FA:8A:89,-55, ,0.000000,0.000000,0.000,0.000,AP
2023-08-02 22:35:02,1900-01-00 00:00:00,Airwolf-1214,50:F1:4A:FA:8A:89,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-02 22:35:02,1900-01-00 00:00:00,Airwolf-1214,50:F1:4A:FA:8A:89,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-02 22:35:02,1900-01-00 00:00:00,Airwolf-1214,50:F1:4A:FA:8A:89,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-02 22:35:02,1900-01-00 00:00:00,Airwolf-1214,50:F1:4A:FA:8A:89,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-02 22:35:03,1900-01-00 00:00:00,Airwolf-1214,50:F1:4A:FA:8A:89,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-02 22:35:03,1900-01-00 00:00:00,Airwolf-1214,50:F1:4A:FA:8A:89,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-02 22:35:03,1900-01-00 00:00:00,,AC:CF:85:12:44:9A,-35,,0.000000,0.000000,0.000,0.000,Client
2023-08-02 22:35:03,1900-01-00 00:00:00,Airwolf-1214,50:F1:4A:FA:8A:89,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-02 22:35:03,1900-01-00 00:00:00,,AC:CF:85:12:44:9A,-35,,0.000000,0.000000,0.000,0.000,Client
2023-08-02 22:35:03,1900-01-00 00:00:00,Airwolf-1214,50:F1:4A:FA:8A:89,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-02 22:35:03,1900-01-00 00:00:00,Airwolf-1214,50:F1:4A:FA:8A:89,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-02 22:35:03,1900-01-00 00:00:00,Airwolf-1214,50:F1:4A:FA:8A:89,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-02 22:35:03,1900-01-00 00:00:00,Airwolf-1214,50:F1:4A:FA:8A:89,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
